date,name,transaction,minute
2020-03-02 00:37:20,Ekaterina_Petrova,cancelled,37
2020-03-02 00:59:09,Irina_Fedorova,successfull,59
2020-03-02 01:06:14,Ekaterina_Smirnova,successfull,6
2020-03-02 00:02:58,Lolita_Polyanova,cancelled,2
2020-03-02 00:17:52,Julia_Smirnova,cancelled,17
2020-03-02 01:09:55,Irina_Polyanova,cancelled,9
2020-03-02 00:54:12,Olga_Lesnova,successfull,54
2020-03-02 00:18:43,Irina_Lesnova,successfull,18
2020-03-02 00:06:10,Vasilisa_Petrova,successfull,6
2020-03-02 00:47:06,Olga_Petrova,successfull,47
2020-03-02 01:20:50,Irina_Smirnova,successfull,20
2020-03-02 00:45:16,Vasilisa_Polyanova,successfull,45
2020-03-02 01:01:48,Masha_Ozerova,successfull,1
2020-03-02 01:04:03,Lolita_Polyanova,cancelled,4
2020-03-02 00:22:27,Masha_Fedorova,successfull,22
2020-03-02 01:28:21,Lolita_Ivanova,successfull,28
2020-03-02 01:21:01,Svetlana_Petrova,successfull,21
2020-03-02 01:20:20,Svetlana_Polyanova,successfull,20
2020-03-02 00:52:08,Masha_Fedorova,cancelled,52
2020-03-02 00:37:53,Svetlana_Ozerova,cancelled,37
2020-03-02 00:54:51,Irina_Ozerova,successfull,54
2020-03-02 00:29:43,Vasilisa_Smirnova,successfull,29
2020-03-02 00:06:00,Irina_Petrova,successfull,6
2020-03-02 01:27:01,Svetlana_Ozerova,successfull,27
2020-03-02 00:14:38,Olga_Polyanova,successfull,14
2020-03-02 00:33:26,Julia_Ozerova,successfull,33
2020-03-02 01:11:36,Ekaterina_Ivanova,successfull,11
2020-03-02 01:07:32,Julia_Polyanova,cancelled,7
2020-03-02 00:34:45,Masha_Fedorova,successfull,34
2020-03-02 00:09:20,Olga_Smirnova,successfull,9
2020-03-02 00:46:28,Irina_Fedorova,successfull,46
2020-03-02 00:52:00,Julia_Lesnova,cancelled,52
2020-03-02 00:22:31,Svetlana_Petrova,successfull,22
2020-03-02 00:45:38,Lolita_Polyanova,successfull,45
2020-03-02 00:34:31,Svetlana_Ivanova,successfull,34
2020-03-02 00:20:20,Ekaterina_Ozerova,cancelled,20
2020-03-02 00:13:08,Lolita_Lesnova,successfull,13
2020-03-02 00:43:13,Vasilisa_Smirnova,successfull,43
2020-03-02 00:33:36,Lolita_Ivanova,successfull,33
2020-03-02 00:13:59,Vasilisa_Petrova,successfull,13
2020-03-02 00:38:58,Vasilisa_Polyanova,successfull,38
2020-03-02 00:16:03,Vasilisa_Fedorova,successfull,16
2020-03-02 01:22:49,Lolita_Petrova,successfull,22
2020-03-02 01:11:44,Ekaterina_Polyanova,successfull,11
2020-03-02 00:11:40,Ekaterina_Petrova,successfull,11
2020-03-02 01:23:08,Vasilisa_Petrova,cancelled,23
2020-03-02 01:16:40,Olga_Ozerova,successfull,16
2020-03-02 01:25:09,Svetlana_Lesnova,cancelled,25
2020-03-02 00:14:10,Olga_Ivanova,successfull,14
2020-03-02 00:45:20,Vasilisa_Fedorova,cancelled,45
2020-03-02 00:30:32,Svetlana_Ozerova,successfull,30
2020-03-02 00:27:43,Svetlana_Ivanova,successfull,27
2020-03-02 01:07:57,Julia_Fedorova,successfull,7
2020-03-02 00:14:57,Masha_Smirnova,successfull,14
2020-03-02 01:06:07,Irina_Petrova,successfull,6
2020-03-02 00:35:54,Olga_Ozerova,successfull,35
2020-03-02 00:53:56,Vasilisa_Fedorova,successfull,53
2020-03-02 00:03:33,Olga_Petrova,successfull,3
2020-03-02 01:17:32,Irina_Fedorova,successfull,17
2020-03-02 00:33:29,Masha_Fedorova,cancelled,33
2020-03-02 00:14:16,Lolita_Lesnova,successfull,14
2020-03-02 00:01:21,Irina_Petrova,successfull,1
2020-03-02 00:41:54,Olga_Polyanova,successfull,41
2020-03-02 00:06:15,Irina_Smirnova,successfull,6
2020-03-02 00:39:32,Lolita_Ivanova,successfull,39
2020-03-02 01:09:31,Julia_Polyanova,cancelled,9
2020-03-02 00:08:09,Irina_Ozerova,cancelled,8
2020-03-02 00:39:40,Olga_Fedorova,successfull,39
2020-03-02 00:16:41,Ekaterina_Polyanova,successfull,16
2020-03-02 00:02:18,Vasilisa_Fedorova,successfull,2
2020-03-02 00:04:50,Julia_Ozerova,successfull,4
2020-03-02 00:52:42,Julia_Petrova,cancelled,52
2020-03-02 00:54:12,Vasilisa_Petrova,successfull,54
2020-03-02 01:28:49,Irina_Fedorova,cancelled,28
2020-03-02 01:11:25,Masha_Ozerova,successfull,11
2020-03-02 00:48:31,Julia_Petrova,cancelled,48
2020-03-02 00:44:00,Lolita_Ozerova,successfull,44
2020-03-02 00:39:35,Vasilisa_Ivanova,successfull,39
2020-03-02 00:20:05,Svetlana_Ivanova,successfull,20
2020-03-02 00:21:37,Svetlana_Fedorova,cancelled,21
2020-03-02 01:10:57,Irina_Ivanova,successfull,10
2020-03-02 01:26:56,Ekaterina_Polyanova,successfull,26
2020-03-02 00:13:00,Julia_Fedorova,successfull,13
2020-03-02 01:05:16,Ekaterina_Lesnova,successfull,5
2020-03-02 00:57:19,Masha_Smirnova,successfull,57
2020-03-02 00:37:15,Olga_Petrova,cancelled,37
2020-03-02 00:21:23,Irina_Polyanova,cancelled,21
2020-03-02 00:58:48,Ekaterina_Ivanova,successfull,58
2020-03-02 01:22:02,Ekaterina_Smirnova,successfull,22
2020-03-02 01:25:53,Julia_Fedorova,successfull,25
2020-03-02 01:28:26,Olga_Smirnova,successfull,28
2020-03-02 01:03:57,Masha_Polyanova,successfull,3
2020-03-02 00:00:44,Lolita_Petrova,successfull,0
2020-03-02 00:28:43,Svetlana_Fedorova,cancelled,28
2020-03-02 00:58:43,Julia_Polyanova,successfull,58
2020-03-02 01:26:25,Irina_Lesnova,successfull,26
2020-03-02 01:05:18,Masha_Smirnova,successfull,5
2020-03-02 00:40:53,Svetlana_Smirnova,successfull,40
2020-03-02 00:06:44,Ekaterina_Lesnova,successfull,6
2020-03-02 00:29:55,Svetlana_Ozerova,successfull,29
2020-03-02 01:23:33,Masha_Ozerova,successfull,23
2020-03-02 01:16:39,Irina_Polyanova,successfull,16
2020-03-02 01:24:02,Lolita_Smirnova,successfull,24
2020-03-02 00:24:27,Ekaterina_Polyanova,cancelled,24
2020-03-02 00:02:34,Svetlana_Ivanova,cancelled,2
2020-03-02 00:49:53,Lolita_Ozerova,successfull,49
2020-03-02 00:40:11,Masha_Lesnova,successfull,40
2020-03-02 01:09:27,Ekaterina_Petrova,successfull,9
2020-03-02 00:16:33,Ekaterina_Fedorova,cancelled,16
2020-03-02 00:53:22,Masha_Polyanova,successfull,53
2020-03-02 01:11:59,Ekaterina_Smirnova,successfull,11
2020-03-02 00:00:10,Olga_Lesnova,successfull,0
2020-03-02 00:14:09,Svetlana_Smirnova,successfull,14
2020-03-02 01:09:06,Olga_Fedorova,cancelled,9
2020-03-02 00:40:53,Svetlana_Lesnova,cancelled,40
2020-03-02 01:02:30,Julia_Polyanova,successfull,2
2020-03-02 00:45:14,Svetlana_Polyanova,successfull,45
2020-03-02 01:16:48,Lolita_Lesnova,successfull,16
2020-03-02 00:02:58,Lolita_Ivanova,successfull,2
2020-03-02 00:18:42,Olga_Smirnova,successfull,18
2020-03-02 01:17:17,Olga_Ivanova,cancelled,17
2020-03-02 01:22:46,Julia_Ozerova,cancelled,22
2020-03-02 00:45:50,Lolita_Lesnova,successfull,45
2020-03-02 00:31:33,Masha_Fedorova,successfull,31
2020-03-02 01:24:12,Irina_Fedorova,cancelled,24
2020-03-02 00:30:21,Olga_Ivanova,successfull,30
2020-03-02 01:20:04,Ekaterina_Polyanova,successfull,20
2020-03-02 01:11:59,Svetlana_Polyanova,successfull,11
2020-03-02 00:04:19,Irina_Petrova,successfull,4
2020-03-02 00:50:22,Svetlana_Smirnova,successfull,50
2020-03-02 00:16:41,Vasilisa_Petrova,cancelled,16
2020-03-02 01:04:38,Irina_Lesnova,successfull,4
2020-03-02 01:18:39,Svetlana_Polyanova,successfull,18
2020-03-02 00:36:21,Masha_Polyanova,cancelled,36
2020-03-02 00:10:23,Vasilisa_Lesnova,successfull,10
2020-03-02 00:02:41,Lolita_Petrova,successfull,2
2020-03-02 00:08:58,Irina_Smirnova,cancelled,8
2020-03-02 00:30:01,Olga_Polyanova,successfull,30
2020-03-02 00:27:32,Irina_Smirnova,successfull,27
2020-03-02 00:26:42,Olga_Ozerova,cancelled,26
2020-03-02 01:17:44,Lolita_Petrova,cancelled,17
2020-03-02 00:31:42,Vasilisa_Ozerova,successfull,31
2020-03-02 01:23:27,Irina_Petrova,successfull,23
2020-03-02 01:12:52,Vasilisa_Ozerova,successfull,12
2020-03-02 00:40:37,Olga_Lesnova,successfull,40
