name,reg_number,address,head,head_job,head_inn,phone,email,site,registration_date,nalogoplatelschik_code,oktmo_code,okato_code,registration_region,okato_name,field,"capital,RUB","income,RUB"
Пермэнергосбыт,6417532956774,"ст. Слюдянка, пер. Брянский, д. 378 стр. 634, 790392",Емельян Феликсович Зайцев,Релайтер,175482780898,8 833 729 83 14,boleslav28@gmail.com,krilova.net,1986-03-20,1998-02-11,47158105405,10234283083,Novosilikatnyy,"г. Кропоткин (Краснод.), пр. Лесный, д. 8/3 к. 431, 768042",Разработка подробных результатов,44637351562,67534335517
ЗАО «Кабанова Ковалев»,9343329412518,"с. Нарткала, ул. Верхняя, д. 68 стр. 1, 393309",Геннадий Денисович Григорьев,Бондарь,120708914823,+7 455 632 1053,kapustinjulian@oao.com,ao.ru,2011-09-28,1983-11-10,20653722407,92544205998,Severodvinsk,"д. Москва, МГУ, бул. Транспортный, д. 75 стр. 7/1, 290123",Монетизация передовых действий,78570288945,19932336080
Неофарм,3813743111150,"г. Долинск, ш. Московское, д. 25 к. 5, 227970",Юрий Архипович Богданов,Полицейский,663119569897,+7 077 854 47 31,bazhen41@matveeva.net,ao.com,2019-01-30,1986-09-01,96067740308,47030638090,Kovylkino,"с. Сладково, наб. Вавилова, д. 62 к. 627, 198606",Эксплуатация круглосуточных пользователей,30634104861,3103853229
Арконик СМЗ,7465966885549,"п. Тобольск, ул. Лунная, д. 375 стр. 724, 119588",Аникей Артёмович Павлов,Оперативный работник,722903871682,8 120 448 48 45,emeljan_75@gmail.com,ao.com,2004-08-10,2012-04-01,79166677871,45647356291,Otradnyy,"клх Миасс, пер. Тургенева, д. 4/2 к. 8, 505443",Использование серверных диапазонов,85286893329,8607813826
Фармперспектива,6205521489390,"к. Горно-Алтайск, ул. Степана Разина, д. 646 стр. 828, 174706",Шашков Алексей Богданович,Фортификатор,837771137752,88711723244,ustinovaoksana@gmail.com,npo.biz,1982-05-29,1981-10-10,13185275127,67033649508,Ishim,"клх Кунгур, ш. Запрудное, д. 13, 038583",Максимизация мультимедийных интерфейсов,88304638400,29181260019
"ИП «Исакова, Савельева и Антонова»",5073449070529,"клх Лысьва, ш. Локомотивное, д. 13, 379413",Романов Гедеон Витальевич,Бармен,391131415604,8 458 955 1666,ksharov@yahoo.com,ershova.ru,1977-05-24,1982-01-07,58683444728,56185459533,Tavda,"п. Дмитров, наб. Приморская, д. 9/4 к. 4/3, 349919",Трансформация революционных систем,25671621752,41169121826
Нефтехимсервис,2469936866661,"с. Тимашевск, пр. Театральный, д. 6, 590217",Любосмысл Адамович Туров,Инкассатор,323896131459,+72095513588,parfen1986@ao.org,ip.ru,2002-01-25,2011-12-23,30675058900,40732969130,Roslavl‚Äô,"ст. Тутончаны, ш. Интернациональное, д. 7, 988306",Культивация серверных сообществ,45511380692,41284034127
АО «Колесников Чернова»,9272097078860,"д. Чегем, бул. Фрунзе, д. 4 стр. 480, 072269",Елизар Бенедиктович Макаров,Хлебороб,394609645484,+7 (919) 194-33-43,ekorolev@rambler.ru,zao.com,1972-11-04,2010-09-16,10663127787,66697733782,Nizhniy Lomov,"г. Медногорск, ул. Спортивная, д. 100 стр. 188, 312292",Развитие беспроводных технологий,10492172735,74379060451
АО «Николаев»,8801363466585,"г. Асино, алл. Жуковского, д. 227 стр. 81, 382177",Бронислав Артёмович Мамонтов,Журналист,197916669463,82561161187,valeri_2007@grishin.edu,ip.info,1977-04-30,1984-04-23,40745492761,38750823769,Likhobory,"п. Горно-Алтайск, пер. Детский, д. 2 стр. 6, 843898",Переосмысление круглогодичных интернет-компаний,68706620862,44650006527
АО «Пономарева»,7633537855926,"д. Уварово, пер. Черемушки, д. 1/6 к. 6, 234570",Любим Якубович Терентьев,Разведчик,595260069852,+7 914 033 5398,kotovorest@volkova.org,natsionalnaja.info,2005-09-01,1975-04-07,28045080320,28306502304,Kuvandyk,"к. Миллерово, пр. Кедровый, д. 35, 808034",Синтез индивидуальных решений,82609912980,91295413566
